accession,Genus,specie,subspecie,Localidad,Lat,Long,oldname
1075,Eriosyce,litoralis,NA,TotoralilloIVR,-30.06818,-71.37504,litoralis
1083,Eriosyce,litoralis,NA,TotoralilloIVR,-30.06918,-71.37578,litoralis
1093,Eriosyce,clavata,NA,Qda.Manqueza,-29.91373,-70.94329,clavata
1288,Eriosyce,subgibbosa,NA,PeninsuladeHualpenVIIIR,-36.75741,-73.17634,subgibbosa
1290,Eriosyce,subgibbosa,NA,PeninsuladeHualpenVIIIR,-36.75741,-73.17634,subgibbosa
1332,Eriosyce,castanea,NA,CerroLaLajuela(StaCruz),-34.66413,-71.41697,castanea
1333,Eriosyce,castanea,NA,CerroLaLajuela(StaCruz),-34.66415,-71.41696,castanea
1349,Eriosyce,litoralis,NA,Pichidanguii,-32.15612,-71.52827,subgibbosa
1350,Eriosyce,litoralis,NA,Pichidanguii,-32.15600,-71.52819,subgibbosa
1351,Eriosyce,litoralis,NA,Pichidanguii,-32.156112,-71.528243,subgibbosa
1352,Eriosyce,litoralis,NA,Pichidanguii,-32.156797,-71.528340,subgibbosa
1353,Eriosyce,litoralis,NA,Pichidanguii,-32.156798,-71.528341,subgibbosa
1354,Eriosyce,litoralis,NA,Pichidanguii,-32.15676,-71.52830,subgibbosa
1355,Eriosyce,litoralis,NA,Pichidanguii,-32.15676,-71.52830,subgibbosa
1356,Eriosyce,litoralis,NA,Pichidanguii,-32.15811,-71.53084,subgibbosa
1358,Eriosyce,litoralis,NA,Pichidanguii,-32.15797,-71.53089,subgibbosa
1359,Eriosyce,litoralis,NA,Pichidanguii,-32.15793,-71.53089,subgibbosa
1362,Eriosyce,litoralis,NA,Pichidanguii,-32.15785,-71.53089,subgibbosa
1364,Eriosyce,litoralis,NA,Pichidanguii,-32.15779,-71.53083,subgibbosa
1368,Eriosyce,litoralis,NA,QdaChivato,-32.23813,-71.49688,subgibbosa
1369,Eriosyce,litoralis,NA,QdaChivato,-32.23861,-71.49708,subgibbosa
1371,Eriosyce,litoralis,NA,QdaChivato,-32.23880,-71.49713,subgibbosa
1372,Eriosyce,litoralis,NA,QdaChivato,-32.23882,-71.49713,subgibbosa
